Elementos: 269, work_group_size: 1, Grupos:269
Elementos: 270, work_group_size: 30, Grupos:9
Elementos: 271, work_group_size: 1, Grupos:271
Elementos: 272, work_group_size: 34, Grupos:8
Elementos: 273, work_group_size: 21, Grupos:13
Elementos: 274, work_group_size: 2, Grupos:137
Elementos: 275, work_group_size: 25, Grupos:11
Elementos: 276, work_group_size: 4, Grupos:69
Elementos: 277, work_group_size: 1, Grupos:277
Elementos: 278, work_group_size: 2, Grupos:139
Elementos: 279, work_group_size: 31, Grupos:9
Elementos: 280, work_group_size: 8, Grupos:35
Elementos: 281, work_group_size: 1, Grupos:281
Elementos: 282, work_group_size: 6, Grupos:47
Elementos: 283, work_group_size: 1, Grupos:283
Elementos: 284, work_group_size: 4, Grupos:71
Elementos: 285, work_group_size: 19, Grupos:15
Elementos: 286, work_group_size: 26, Grupos:11
Elementos: 287, work_group_size: 7, Grupos:41
Elementos: 288, work_group_size: 36, Grupos:8
Elementos: 289, work_group_size: 17, Grupos:17
Elementos: 290, work_group_size: 29, Grupos:10
Elementos: 291, work_group_size: 1, Grupos:291
Elementos: 292, work_group_size: 4, Grupos:73
Elementos: 293, work_group_size: 1, Grupos:293
Elementos: 294, work_group_size: 21, Grupos:14
Elementos: 295, work_group_size: 5, Grupos:59
Elementos: 296, work_group_size: 37, Grupos:8
Elementos: 297, work_group_size: 33, Grupos:9
Elementos: 298, work_group_size: 2, Grupos:149
Elementos: 299, work_group_size: 23, Grupos:13
Elementos: 300, work_group_size: 4, Grupos:75
Elementos: 301, work_group_size: 7, Grupos:43
Elementos: 302, work_group_size: 2, Grupos:151
Elementos: 303, work_group_size: 1, Grupos:303
Elementos: 304, work_group_size: 16, Grupos:19
Elementos: 305, work_group_size: 5, Grupos:61
Elementos: 306, work_group_size: 34, Grupos:9
Elementos: 307, work_group_size: 1, Grupos:307
Elementos: 308, work_group_size: 4, Grupos:77
Elementos: 309, work_group_size: 3, Grupos:103
Elementos: 310, work_group_size: 31, Grupos:10
Elementos: 311, work_group_size: 1, Grupos:311
Elementos: 312, work_group_size: 8, Grupos:39
Elementos: 313, work_group_size: 1, Grupos:313
Elementos: 314, work_group_size: 2, Grupos:157
Elementos: 315, work_group_size: 35, Grupos:9
Elementos: 316, work_group_size: 4, Grupos:79
Elementos: 317, work_group_size: 1, Grupos:317
Elementos: 318, work_group_size: 6, Grupos:53
Elementos: 319, work_group_size: 29, Grupos:11
Elementos: 320, work_group_size: 40, Grupos:8
Elementos: 321, work_group_size: 3, Grupos:107
Elementos: 322, work_group_size: 23, Grupos:14
Elementos: 323, work_group_size: 19, Grupos:17
Elementos: 324, work_group_size: 4, Grupos:81
Elementos: 325, work_group_size: 25, Grupos:13
Elementos: 326, work_group_size: 2, Grupos:163
Elementos: 327, work_group_size: 1, Grupos:327
Elementos: 328, work_group_size: 41, Grupos:8
Elementos: 329, work_group_size: 7, Grupos:47
Elementos: 330, work_group_size: 33, Grupos:10
Elementos: 331, work_group_size: 1, Grupos:331
Elementos: 332, work_group_size: 4, Grupos:83
Elementos: 333, work_group_size: 37, Grupos:9
Elementos: 334, work_group_size: 2, Grupos:167
Elementos: 335, work_group_size: 5, Grupos:67
Elementos: 336, work_group_size: 42, Grupos:8
Elementos: 337, work_group_size: 1, Grupos:337
Elementos: 338, work_group_size: 26, Grupos:13
Elementos: 339, work_group_size: 1, Grupos:339
Elementos: 340, work_group_size: 4, Grupos:85
Elementos: 341, work_group_size: 31, Grupos:11
Elementos: 342, work_group_size: 38, Grupos:9
Elementos: 343, work_group_size: 7, Grupos:49
Elementos: 344, work_group_size: 8, Grupos:43
Elementos: 345, work_group_size: 23, Grupos:15
Elementos: 346, work_group_size: 2, Grupos:173
Elementos: 347, work_group_size: 1, Grupos:347
Elementos: 348, work_group_size: 4, Grupos:87
Elementos: 349, work_group_size: 1, Grupos:349
Elementos: 350, work_group_size: 35, Grupos:10
Elementos: 351, work_group_size: 39, Grupos:9
Elementos: 352, work_group_size: 44, Grupos:8
Elementos: 353, work_group_size: 1, Grupos:353
Elementos: 354, work_group_size: 6, Grupos:59
Elementos: 355, work_group_size: 5, Grupos:71
Elementos: 356, work_group_size: 4, Grupos:89
Elementos: 357, work_group_size: 21, Grupos:17
